student_id,immigrant,female,minority,distance_band,ses_father,ses_mother,avg_kttx_h1,abs_phep_h1,abs_nophep_h1,diem_giua_ky,abs_phep_h2,abs_nophep_h2,delta_phep_h2,delta_nophep_h2,kttx3,kttx4,diem_cuoi_ky,tb_hoc_ky,y
MK2_0648,0,1,0,1,1,1,5.5,0,0,4.5,0,0,0,0,5.0,6.0,4.0,4.8,0
MK2_0649,1,0,0,0,3,2,9.0,1,0,6.0,1,0,0,0,2.0,4.0,6.0,6.0,1
MK2_0650,0,0,0,0,2,2,8.0,1,0,6.5,2,0,1,0,6.0,10.0,6.3,7.1,1
MK2_0651,0,1,0,0,2,1,9.5,0,0,7.8,0,0,0,0,8.0,10.0,7.3,8.3,1
MK2_0652,0,0,0,1,2,2,9.0,1,0,8.0,1,0,0,0,8.0,9.0,6.5,7.8,1
MK2_0653,0,1,0,0,2,2,9.0,0,0,7.5,0,0,0,0,1.0,8.0,4.3,6.1,1
MK2_0654,0,1,0,0,2,3,7.5,0,0,5.0,0,0,0,0,5.0,5.0,5.0,5.6,1
MK2_0655,1,0,1,0,1,1,8.0,0,0,5.5,0,0,0,0,7.0,5.0,5.8,6.3,1
MK2_0656,0,1,0,0,3,3,6.0,0,0,4.5,0,0,0,0,4.0,5.0,5.8,5.3,1
MK2_0657,0,0,0,0,1,1,6.0,0,0,3.8,0,0,0,0,3.0,4.0,4.0,4.3,0
MK2_0658,1,0,0,0,1,1,8.5,0,0,4.5,0,0,0,0,4.0,9.0,4.8,5.9,1
MK2_0659,0,0,0,1,1,1,6.5,0,0,4.3,1,0,1,0,3.0,5.0,5.3,5.1,1
MK2_0660,0,0,0,0,2,2,8.5,0,0,6.5,0,0,0,0,8.0,9.0,7.0,7.6,1
MK2_0661,1,1,0,0,4,4,8.5,0,0,7.3,0,0,0,0,8.0,7.0,9.3,8.3,1
MK2_0662,1,0,0,3,2,1,7.0,0,0,4.3,0,0,0,0,3.0,6.0,4.0,4.8,0
MK2_0663,0,1,0,0,1,1,9.0,0,0,5.0,2,0,2,0,2.0,6.0,6.3,6.1,1
MK2_0664,0,1,0,0,2,1,7.0,1,0,3.8,1,0,0,0,4.0,9.0,2.5,4.7,0
MK2_0665,0,0,0,1,2,1,8.5,1,0,7.3,1,0,0,0,5.0,8.0,7.5,7.5,1
MK2_0666,0,0,0,0,3,3,7.5,1,0,6.8,1,0,0,0,8.0,9.0,6.5,7.2,1
MK2_0667,0,0,0,0,1,1,5.5,1,0,3.8,2,0,1,0,5.0,3.0,3.8,4.2,0
MK2_0668,0,1,0,0,2,1,7.5,0,0,5.0,1,0,1,0,3.0,6.0,4.0,5.1,1
MK2_0669,0,1,0,1,1,1,8.5,0,0,7.0,0,0,0,0,7.0,7.0,2.8,5.9,1
MK2_0670,0,1,0,0,4,1,10.0,0,0,8.5,0,0,0,0,10.0,9.0,7.0,8.6,1
MK2_0671,0,0,0,0,4,4,9.5,0,0,8.0,0,0,0,0,5.0,9.0,4.8,7.0,1
MK2_0672,0,1,0,0,4,4,9.5,0,0,7.0,0,0,0,0,7.0,10.0,8.0,8.2,1
MK2_0673,0,1,0,0,3,1,8.5,1,0,5.8,1,0,0,0,5.0,8.0,5.5,6.5,1
MK2_0674,0,1,0,0,2,3,9.0,1,0,6.8,1,0,0,0,5.0,9.0,5.0,6.7,1
MK2_0675,1,1,0,0,4,3,7.5,0,0,4.5,0,0,0,0,4.0,7.0,4.8,5.5,1
