dataset,model,config,group_a,group_b,AUC_a,AUC_b,n_a,n_b,z_stat,p_value
UCI-Por,LR,SES-unaware,Male×LowSES,Fem×HighSES,0.8762107710189849,0.9716006884681583,118,180,-2.8240279883159882,0.004742424339703399
UCI-Por,LR,SES-unaware,Male×HighSES,Fem×LowSES,0.9523809523809523,0.9479374584165003,148,203,0.19956830823241853,0.8418182155100205
UCI-Por,LR,SES-unaware,Male×HighSES,Fem×HighSES,0.9523809523809523,0.9716006884681583,148,180,-0.9352375217592792,0.3496659055504767
UCI-Por,LR,SES-unaware,Fem×LowSES,Fem×HighSES,0.9479374584165003,0.9716006884681583,203,180,-1.25152517789814,0.2107429336062454
UCI-Por,RF,SES-unaware,Male×LowSES,Male×HighSES,0.8915149166989539,0.9405699287589052,118,148,-1.4004309838026456,0.16138429717471214
UCI-Por,RF,SES-unaware,Male×LowSES,Fem×LowSES,0.8915149166989539,0.9154191616766467,118,203,-0.6761823805120126,0.49892485783343865
UCI-Por,RF,SES-unaware,Male×LowSES,Fem×HighSES,0.8915149166989539,0.967512908777969,118,180,-2.3738669369203103,0.017602892854240437
UCI-Por,RF,SES-unaware,Male×HighSES,Fem×LowSES,0.9405699287589052,0.9154191616766467,148,203,0.9079639758831521,0.3638972547941619
UCI-Por,RF,SES-unaware,Male×HighSES,Fem×HighSES,0.9405699287589052,0.967512908777969,148,180,-1.1567923214849987,0.24735721973116487
UCI-Por,RF,SES-unaware,Fem×LowSES,Fem×HighSES,0.9154191616766467,0.967512908777969,203,180,-2.1911601234594946,0.028440207141655405
